number,value,datetime_start,datetime_complete,duration,params_batch,params_dp,params_lr,params_ls,params_out_c_mult,params_out_ch,params_wd,state
39,0.4187733130676051,2026-08-12 06:47:59.434377,2026-08-12 06:48:43.748958,0 days 00:00:44.314581,64,0.10300059652031451,0.0003044991334071259,0.04522679231125034,3,32,0.002120034826874525,COMPLETE
40,0.42089158547904887,2026-08-12 06:48:43.805575,2026-08-12 06:49:25.622180,0 days 00:00:41.816605,64,0.1914075867843924,0.0006816144802766903,0.08593351984798452,3,32,0.0011428041386537982,COMPLETE
41,0.4117764742115761,2026-08-12 06:49:25.691269,2026-08-12 06:50:15.471997,0 days 00:00:49.780728,64,0.19415303282996935,0.0006768291202639525,0.07355964897626553,3,512,0.0022213971086145696,COMPLETE
42,0.41101629747636353,2026-08-12 06:50:15.524377,2026-08-12 06:50:43.368364,0 days 00:00:27.843987,128,0.2624479593958842,0.0006269656282593927,0.14560002423744953,3,32,0.0029530345926157453,COMPLETE
43,0.42231742758040314,2026-08-12 06:50:43.434287,2026-08-12 06:51:39.941462,0 days 00:00:56.507175,64,0.13644530169184596,0.0007291230985084498,0.40972761506695965,1,256,0.001053083904865103,COMPLETE
44,0.42560089127229184,2026-08-12 06:51:40.006430,2026-08-12 06:51:53.624455,0 days 00:00:13.618025,512,0.24419393137265633,0.0007096990051325672,0.43141651320890373,1,256,0.0010113828426153893,COMPLETE
45,0.4165576646566819,2026-08-12 06:51:53.694485,2026-08-12 06:52:06.864589,0 days 00:00:13.170104,512,0.28361463354097427,0.0007265607367351201,0.40453473616676827,1,256,5.9473748520426236e-05,COMPLETE
46,0.4215402633685279,2026-08-12 06:52:06.930782,2026-08-12 06:52:20.441273,0 days 00:00:13.510491,512,0.23846163308808715,0.0004398165949183989,0.4162455237301965,1,256,1.1197782956483362e-05,COMPLETE
47,0.4204432191053713,2026-08-12 06:52:20.503993,2026-08-12 06:52:34.897972,0 days 00:00:14.393979,512,0.3435768487740247,0.0007975643066209872,0.47333564497213243,1,256,0.0003624763100323375,COMPLETE
48,0.4061870582727277,2026-08-12 06:52:34.950830,2026-08-12 06:52:51.146731,0 days 00:00:16.195901,512,0.23610366084591283,0.0004390083522770816,0.421696170379169,1,256,1.335776991291476e-05,COMPLETE
49,0.42293168916909607,2026-08-12 06:52:51.201632,2026-08-12 06:53:05.129520,0 days 00:00:13.927888,512,0.24420568607605758,0.0005333375768983413,0.38919540297173877,1,256,2.7653316867358342e-05,COMPLETE
50,0.40865565257457187,2026-08-12 06:53:05.188307,2026-08-12 06:53:17.978537,0 days 00:00:12.790230,512,0.28947544188832564,0.0005374412526092745,0.48831973696263886,1,256,2.1459289172659e-05,COMPLETE
51,0.41451099066292035,2026-08-12 06:53:18.049415,2026-08-12 06:53:31.232448,0 days 00:00:13.183033,512,0.3667669572995767,0.0007075172355060623,0.35112336743767336,1,256,4.866038363178269e-05,COMPLETE
52,0.42527198853925413,2026-08-12 06:53:31.283457,2026-08-12 06:53:44.643138,0 days 00:00:13.359681,512,0.31517728021281105,0.0006026506694428773,0.37522514095321136,1,256,0.00010631626997856896,COMPLETE
53,0.4187965270663341,2026-08-12 06:53:44.704345,2026-08-12 06:53:59.639512,0 days 00:00:14.935167,512,0.32100524809817854,0.00048571677323145095,0.3762185780965073,1,256,2.3567036513722974e-05,COMPLETE
54,0.40850986945892787,2026-08-12 06:53:59.698226,2026-08-12 06:54:15.202508,0 days 00:00:15.504282,512,0.25368691146537325,0.0005839288817280551,0.2999506978656284,1,256,3.652518309097981e-05,COMPLETE
55,0.4194352494481865,2026-08-12 06:54:15.256993,2026-08-12 06:54:30.967494,0 days 00:00:15.710501,512,0.21715563817460198,0.0003952264865016826,0.453275955233571,1,256,9.163239428295295e-05,COMPLETE
56,0.4185137860761835,2026-08-12 06:54:31.026543,2026-08-12 06:54:43.333839,0 days 00:00:12.307296,512,0.08554033662719342,5.821569346150905e-05,0.38724318561412274,1,256,0.0005422561782921125,COMPLETE
57,0.41014412028757347,2026-08-12 06:54:43.394597,2026-08-12 06:55:11.993142,0 days 00:00:28.598545,128,0.40297230375458454,0.0005188969086762242,0.439532129608088,1,512,1.6950495110035102e-05,COMPLETE
58,0.4182768135436015,2026-08-12 06:55:12.050284,2026-08-12 06:55:25.271863,0 days 00:00:13.221579,512,0.30334967450605627,0.0007403009636937886,0.3360716270891578,1,256,0.0009555136610669586,COMPLETE
59,0.4144107066766805,2026-08-12 06:55:25.323755,2026-08-12 06:55:45.656579,0 days 00:00:20.332824,256,0.3230162004349154,0.0006337218295621722,0.3690549673024763,1,256,0.00010326473286571906,COMPLETE
60,0.41901137115942816,2026-08-12 06:55:45.724881,2026-08-12 06:55:59.770992,0 days 00:00:14.046111,512,0.17055565192074218,0.0007749935058765744,0.4956913871017937,1,64,0.00015975748401420576,COMPLETE
61,0.41472458905062487,2026-08-12 06:55:59.826583,2026-08-12 06:56:13.461437,0 days 00:00:13.634854,512,0.2811138163984207,0.0006029804495136139,0.32248688265307035,1,256,4.743585358241208e-05,COMPLETE
62,0.4139105112682509,2026-08-12 06:56:13.522917,2026-08-12 06:56:41.925121,0 days 00:00:28.402204,128,0.14471578913716807,0.0004920887622619541,0.39486740169998535,1,128,0.0002542630583219405,COMPLETE
63,0.411967201422713,2026-08-12 06:56:41.975385,2026-08-12 06:57:01.224590,0 days 00:00:19.249205,256,0.24770601482722665,0.0006754406232426413,0.43993473579947795,1,256,0.0006585194394472876,COMPLETE
64,0.41482765753548045,2026-08-12 06:57:01.280980,2026-08-12 06:57:49.395297,0 days 00:00:48.114317,64,0.21169333594786946,0.0005392232558691659,0.355427451893917,1,512,0.0004427386611689194,COMPLETE
65,0.41501351312435114,2026-08-12 06:57:49.454257,2026-08-12 06:58:01.437553,0 days 00:00:11.983296,512,0.3509815729057459,0.0007263242231698588,0.02762565652499005,2,256,0.001734886681820071,COMPLETE
66,0.40551876903939743,2026-08-12 06:58:01.491938,2026-08-12 06:58:41.995268,0 days 00:00:40.503330,64,0.3861021610872955,0.0005961965203442715,0.2859283996954825,1,64,0.0010557965155507918,COMPLETE
67,0.4082707223470495,2026-08-12 06:58:42.051423,2026-08-12 06:59:28.826528,0 days 00:00:46.775105,64,0.3034215569567381,0.0004692370193036571,0.46114112101301,1,256,7.271492683511782e-05,COMPLETE
68,0.4197307071731327,2026-08-12 06:59:28.904705,2026-08-12 06:59:42.449090,0 days 00:00:13.544385,512,0.2411210516424149,0.00041492161600477405,0.4181647177458901,1,256,1.1845403734373378e-05,COMPLETE
69,0.4168374993434993,2026-08-12 06:59:42.507582,2026-08-12 06:59:56.502023,0 days 00:00:13.994441,512,0.2714626556251252,0.00044438464168951644,0.40259332258693065,1,256,1.872131844409084e-05,COMPLETE
70,0.4103279697271608,2026-08-12 06:59:56.559696,2026-08-12 07:00:11.091877,0 days 00:00:14.532181,512,0.226927232320287,0.0003582151787868459,0.41581748430185894,1,256,3.3168725263514194e-05,COMPLETE
71,0.42274061743146374,2026-08-12 07:00:11.148637,2026-08-12 07:00:24.234640,0 days 00:00:13.086003,512,0.18095250624830472,0.0005433471559231548,0.430739040114766,1,128,3.142848917347992e-05,COMPLETE
72,0.4214412890875361,2026-08-12 07:00:24.291291,2026-08-12 07:00:39.158544,0 days 00:00:14.867253,512,0.1587171547598715,0.000556145283158073,0.43951700359868395,2,128,3.526471333066913e-05,COMPLETE
73,0.4185675211025847,2026-08-12 07:00:39.208808,2026-08-12 07:01:20.452407,0 days 00:00:41.243599,64,0.1320258488837639,0.0006351526342955653,0.49854979437250596,1,128,0.0002815764150508213,COMPLETE
74,0.4229967246426991,2026-08-12 07:01:20.510615,2026-08-12 07:01:36.394104,0 days 00:00:15.883489,256,0.1788312598841833,0.0007090683005395906,0.36580187781339485,1,128,2.8844339915120624e-05,COMPLETE
75,0.4082745759741019,2026-08-12 07:01:36.458180,2026-08-12 07:01:53.424823,0 days 00:00:16.966643,256,0.17785560716878296,0.0007948098933439839,0.3711730835844386,1,128,1.6014408417468874e-05,COMPLETE
76,0.41458960414602836,2026-08-12 07:01:53.477043,2026-08-12 07:02:09.145541,0 days 00:00:15.668498,256,0.20442383159235614,0.0006737233848738547,0.32758030053878806,1,512,2.9011304140301757e-05,COMPLETE
77,0.4195131903190034,2026-08-12 07:02:09.202635,2026-08-12 07:02:26.470185,0 days 00:00:17.267550,256,0.09232003178797978,0.0005851372420704621,0.3892821266419078,1,128,4.935766239731312e-05,COMPLETE
78,0.4252724007214173,2026-08-12 07:02:26.523467,2026-08-12 07:02:43.113156,0 days 00:00:16.589689,256,0.14982394377300834,0.000725564788398081,0.2430617018612006,1,128,2.9651271078642143e-05,COMPLETE
79,0.4171772057791574,2026-08-12 07:02:43.177128,2026-08-12 07:03:02.238973,0 days 00:00:19.061845,256,0.1482680796614571,0.0005158174478425529,0.24577998989932942,1,128,2.091046321313144e-05,COMPLETE
80,0.4153337708997427,2026-08-12 07:03:02.289115,2026-08-12 07:03:20.265391,0 days 00:00:17.976276,256,0.18892838917352445,0.0007186044703192945,0.19912905210021337,1,128,2.709234910477486e-05,COMPLETE
81,0.4173059761944336,2026-08-12 07:03:20.327352,2026-08-12 07:03:38.787970,0 days 00:00:18.460618,256,0.11859793986311412,0.000641371504110105,0.312820206915483,1,128,4.0536085333961624e-05,COMPLETE
82,0.41871083666054054,2026-08-12 07:03:38.843491,2026-08-12 07:03:56.579537,0 days 00:00:17.736046,256,0.16113955062095828,0.000550448041446821,0.3580565675697283,1,128,5.763223166504276e-05,COMPLETE
83,0.4220804220170361,2026-08-12 07:03:56.640473,2026-08-12 07:04:18.086663,0 days 00:00:21.446190,256,0.13991676930471927,0.0007296168008305919,0.42751311997061,1,128,2.968165656617014e-05,COMPLETE
84,0.41730694606255886,2026-08-12 07:04:18.151543,2026-08-12 07:04:30.080691,0 days 00:00:11.929148,512,0.05824745188773407,0.00011559118335951401,0.4616198200085895,1,128,4.13314338348784e-05,COMPLETE
85,0.4242590291140763,2026-08-12 07:04:30.132389,2026-08-12 07:04:57.523722,0 days 00:00:27.391333,128,0.17719224961405505,0.0004723780696437407,0.2612899892594631,2,128,0.0008179234510341756,COMPLETE
86,0.41671841046909625,2026-08-12 07:04:57.583362,2026-08-12 07:05:25.169879,0 days 00:00:27.586517,128,0.19887634841562485,0.0004630841645158102,0.2560384963305243,2,128,0.0008019578832910927,COMPLETE
87,0.41667312998206524,2026-08-12 07:05:25.226022,2026-08-12 07:05:53.443497,0 days 00:00:28.217475,128,0.17633975696489188,0.00034258232426287016,0.2193221621847383,2,128,2.4287701788444946e-05,COMPLETE
