number,value,datetime_start,datetime_complete,duration,params_accumulation,params_batch,params_dp,params_h_size,params_lr,params_ls,params_n_layers,params_wd,state
33,0.7539227156816628,2026-08-14 07:15:19.589398,2026-08-14 07:17:59.399415,0 days 00:02:39.810017,1,64,0.11111934360420714,64,0.00018612228929362694,0.0745241998890207,1,8.828558003496602e-05,COMPLETE
34,0.7528910297114767,2026-08-14 07:17:59.461074,2026-08-14 07:20:34.559524,0 days 00:02:35.098450,1,128,0.07082891865576822,256,0.0001086858759560188,0.22440755259867928,1,0.00010673328921044625,COMPLETE
35,0.7588538179063019,2026-08-14 07:20:34.607189,2026-08-14 07:23:30.162289,0 days 00:02:55.555100,1,64,0.03659820016718916,512,0.00022136842650492355,0.12432614607063762,1,7.331221257861189e-05,COMPLETE
36,0.7315655314251411,2026-08-14 07:23:30.224835,2026-08-14 07:27:42.392336,0 days 00:04:12.167501,1,64,0.001006924744594323,32,9.135084629594292e-05,0.01592307470306567,1,9.313942454522454e-05,COMPLETE
37,0.7549017809023866,2026-08-14 07:27:42.443161,2026-08-14 07:32:53.333349,0 days 00:05:10.890188,1,64,0.13007704314329943,512,0.00022529680303648612,0.0011646389972118434,3,0.0001284253234864641,COMPLETE
38,0.7520110696504032,2026-08-14 07:32:53.407536,2026-08-14 07:36:33.509088,0 days 00:03:40.101552,1,64,0.03810449391971387,256,0.00016443691941551527,0.15806342868781817,1,6.412744236971993e-05,COMPLETE
39,0.691997528186513,2026-08-14 07:36:33.567422,2026-08-14 07:41:04.311698,0 days 00:04:30.744276,2,64,0.08575618871934845,64,7.777608489424103e-05,0.1952077651164315,2,0.00018367545737465159,COMPLETE
40,0.7538413986876655,2026-08-14 07:41:04.375269,2026-08-14 07:44:16.665695,0 days 00:03:12.290426,4,64,0.48481021510939937,512,0.00011565141913404073,0.24975027316037113,1,0.00011083568679714776,COMPLETE
41,0.7473052564374717,2026-08-14 07:44:16.712597,2026-08-14 07:51:14.891856,0 days 00:06:58.179259,1,32,0.15332407410324858,256,0.00014267854678242834,0.062198311820491736,3,5.479851477078564e-05,COMPLETE
42,0.750065610657305,2026-08-14 07:51:14.946658,2026-08-14 07:55:04.918018,0 days 00:03:49.971360,1,64,0.126133897545157,512,0.00022321688624249222,0.013317284164637289,3,0.00013774201745530705,COMPLETE
