recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion x,quaternion y,quaternion z,quaternion w
bb09b488-e875-448b-9801-156d15b3962c,1775725061375633338,-0.45013428,-32.49359,33.79631,-0.062011715,-0.7270508,0.70654297,9.135109438570002,-44.944143466048075,39.602949246106334,-0.3834189,-0.059838437,0.28340524,0.87697816
bb09b488-e875-448b-9801-156d15b3962c,1775725061386250338,-0.3299713,-31.702042,32.27043,-0.06445312,-0.7392578,0.6923828,9.102800572195962,-44.913129464682484,39.72184580732245,-0.38304472,-0.060390983,0.2844768,0.87675685
bb09b488-e875-448b-9801-156d15b3962c,1775725061396867338,-0.207901,-30.90477,30.866623,-0.058593743,-0.7338867,0.7011719,9.067815517010402,-44.88779316199361,39.82954243814808,-0.3827114,-0.06094288,0.28546143,0.8765441
bb09b488-e875-448b-9801-156d15b3962c,1775725061405260338,-0.2670288,-30.662537,29.52385,-0.064453125,-0.7319336,0.7001953,9.025129646132182,-44.86082997777559,39.92655116344795,-0.38235167,-0.061512604,0.28639254,0.87635756
bb09b488-e875-448b-9801-156d15b3962c,1775725061413653338,-0.1449585,-29.808044,28.547287,-0.063476555,-0.73291016,0.6875,8.98244339686248,-44.83181113190938,40.00117635973672,-0.3819879,-0.06200104,0.28715575,0.876232
bb09b488-e875-448b-9801-156d15b3962c,1775725061422046338,-0.08392334,-28.526306,27.570724,-0.05566406,-0.7265625,0.69091797,8.94262808884328,-44.808978121681015,40.055917886596404,-0.3816878,-0.06241945,0.28774643,0.87613934
bb09b488-e875-448b-9801-156d15b3962c,1775725061430439338,-0.08392334,-27.427673,26.350021,-0.058593743,-0.7348633,0.70458984,8.898292349692285,-44.78883273122944,40.08295888681515,-0.38141116,-0.062788054,0.28813556,0.8761056
bb09b488-e875-448b-9801-156d15b3962c,1775725061440710338,-0.08392334,-25.84076,24.885178,-0.06787109,-0.7324219,0.69873047,8.85847401969128,-44.764658494252956,40.12232461413231,-0.38110876,-0.06315093,0.28861064,0.8760547
bb09b488-e875-448b-9801-156d15b3962c,1775725061450981338,0.3414154,-24.316788,23.664474,-0.061523434,-0.7402344,0.70166016,8.821214174041312,-44.74345835926026,40.1440311867977,-0.38084453,-0.063444324,0.28893694,0.8760409
bb09b488-e875-448b-9801-156d15b3962c,1775725061461252338,0.5874634,-22.483826,22.748947,-0.05664062,-0.73828125,0.71777344,8.790316336360025,-44.719341006173885,40.147356792352056,-0.3805846,-0.06361921,0.28910646,0.8760852
bb09b488-e875-448b-9801-156d15b3962c,1775725061471475338,1.4400482,-19.37294,20.551682,-0.06054687,-0.7426758,0.70458984,8.728824670785249,-44.66071986532029,40.109068042540216,-0.3800127,-0.06378652,0.28911823,0.8763174
bb09b488-e875-448b-9801-156d15b3962c,1775725061481699338,1.7471313,-17.845154,19.636154,-0.057128906,-0.72998047,0.7128906,8.709318096056892,-44.629864267886745,40.072525537216585,-0.37975317,-0.06372213,0.28895617,0.87648803
bb09b488-e875-448b-9801-156d15b3962c,1775725061491923338,1.7490387,-16.931534,18.659592,-0.061523434,-0.73583984,0.6933594,8.690338601310154,-44.60592639976976,40.03401119845821,-0.37954774,-0.06366807,0.28876528,0.87664384
bb09b488-e875-448b-9801-156d15b3962c,1775725061500674338,1.3198853,-16.0141,17.866135,-0.071777344,-0.734375,0.69189453,8.684704058558404,-44.581429705431454,40.00657649509639,-0.37936556,-0.063547075,0.2886158,0.8767807
bb09b488-e875-448b-9801-156d15b3962c,1775725061509424338,0.95176697,-14.978409,17.129898,-0.063476555,-0.72314453,0.7001953,8.675741740337664,-44.56344633861863,39.943961751059945,-0.37924314,-0.06335467,0.28819692,0.8769853
bb09b488-e875-448b-9801-156d15b3962c,1775725061518174338,0.831604,-13.633728,16.523361,-0.07763671,-0.73828125,0.7026367,8.669715562127568,-44.54417980355178,39.8784481275058,-0.37911996,-0.063126534,0.28774816,0.87720233
bb09b488-e875-448b-9801-156d15b3962c,1775725061526924338,0.6465912,-12.842178,15.84816,-0.06982422,-0.7285156,0.70947266,8.669753309962843,-44.52813239212558,39.8089100234184,-0.37903816,-0.062848404,0.2872429,0.8774232
bb09b488-e875-448b-9801-156d15b3962c,1775725061537111338,0.5264282,-12.107849,14.871597,-0.0883789,-0.7475586,0.71533203,8.665133537514768,-44.5120221189382,39.733072193586615,-0.37894747,-0.06258505,0.28670472,0.87765723
bb09b488-e875-448b-9801-156d15b3962c,1775725061547298338,0.7686615,-11.377335,13.959885,-0.07226562,-0.7324219,0.7192383,8.667897552224316,-44.49821437329587,39.660984618927664,-0.37889022,-0.062284503,0.28616676,0.87787884
bb09b488-e875-448b-9801-156d15b3962c,1775725061557485338,0.5874634,-10.643005,12.922287,-0.083984375,-0.7211914,0.7114258,8.666069534598682,-44.4828447781938,39.56476580737466,-0.37882265,-0.061934844,0.28546154,0.8781623
bb09b488-e875-448b-9801-156d15b3962c,1775725061565091338,0.5893707,-8.752823,11.270523,-0.083007805,-0.72558594,0.70654297,8.666965665042516,-44.45140571321283,39.33281125382664,-0.37871364,-0.061068427,0.28373334,0.87882984
bb09b488-e875-448b-9801-156d15b3962c,1775725061572699338,0.46539307,-7.713318,10.23674,-0.07861328,-0.70214844,0.7050781,8.66744885038188,-44.438670575435076,39.31607937771427,-0.3786282,-0.06097192,0.28362483,0.87890834
bb09b488-e875-448b-9801-156d15b3962c,1775725061580307338,0.4043579,-6.7977905,9.260178,-0.07763671,-0.71484375,0.7001953,8.672776089336544,-44.43200603890569,39.16311348968676,-0.37867236,-0.060406007,0.28244492,0.8793083
bb09b488-e875-448b-9801-156d15b3962c,1775725061584112338,0.28038025,-5.64003,8.22258,-0.08886718,-0.72314453,0.6928711,8.685918111942826,-44.42573169294721,39.0131828063446,-0.3787362,-0.05979126,0.28126127,0.8797021
bb09b488-e875-448b-9801-156d15b3962c,1775725061587917338,0.4043579,-5.2719116,7.4863434,-0.079589844,-0.71191406,0.70751953,8.685578748743247,-44.41845892353345,38.86462726881978,-0.37875792,-0.05928162,0.28013387,0.8800869
bb09b488-e875-448b-9801-156d15b3962c,1775725061596589338,0.46539307,-5.088806,6.8149567,-0.08642578,-0.7211914,0.71240234,8.683775129799303,-44.406856254866234,38.732255301331136,-0.37873453,-0.05882418,0.27914235,0.8804426
bb09b488-e875-448b-9801-156d15b3962c,1775725061605261338,0.95176697,-4.6024323,6.1473846,-0.09228515,-0.7109375,0.7114258,8.68321354717604,-44.39450019812753,38.53822819620278,-0.37873927,-0.058151376,0.27767357,0.88094956
bb09b488-e875-448b-9801-156d15b3962c,1775725061613933338,0.89263916,-4.600525,5.6552887,-0.08886718,-0.7138672,0.7192383,8.683988131544625,-44.38360687808805,38.359338966814725,-0.37874946,-0.057522696,0.27631348,0.881414
bb09b488-e875-448b-9801-156d15b3962c,1775725061622605338,1.2569427,-4.720688,5.350113,-0.10498047,-0.71777344,0.7158203,8.677307646022248,-44.36739157791776,38.211614932331464,-0.37868512,-0.05703921,0.27522588,0.8818132
bb09b488-e875-448b-9801-156d15b3962c,1775725061638641338,1.4419556,-4.4174194,4.8618317,-0.10937499,-0.71533203,0.71533203,8.671957624698171,-44.35315736011991,38.06546500829142,-0.3786375,-0.05655662,0.27414215,0.88220227
bb09b488-e875-448b-9801-156d15b3962c,1775725061654677338,0.89263916,-4.5394897,4.743576,-0.10888671,-0.7192383,0.70947266,8.667490515389948,-44.33980863359017,37.90644733324547,-0.37860432,-0.05602746,0.27295437,0.8826185
bb09b488-e875-448b-9801-156d15b3962c,1775725061670713338,0.9536743,-4.9057007,4.678726,-0.09277343,-0.71777344,0.69970703,8.662524923114406,-44.33213856914088,37.733185330676704,-0.37861896,-0.05547142,0.27164853,0.8830501
bb09b488-e875-448b-9801-156d15b3962c,1775725061678343338,0.4043579,-6.0043335,4.255295,-0.09716796,-0.72558594,0.6923828,8.619428296512867,-44.32762742755072,37.387989507226095,-0.37864906,-0.054650314,0.26913697,0.883857
bb09b488-e875-448b-9801-156d15b3962c,1775725061685973338,-0.024795532,-6.2503815,3.8852692,-0.086914055,-0.7133789,0.70458984,8.586792501673033,-44.33083207892685,37.20379217543184,-0.37868437,-0.054302424,0.26781854,0.8842637
bb09b488-e875-448b-9801-156d15b3962c,1775725061693603338,-0.207901,-6.128311,3.6449432,-0.08789062,-0.72265625,0.69970703,8.554261504457493,-44.33830272564431,37.027751979494646,-0.3787482,-0.053992614,0.26655525,0.884637
bb09b488-e875-448b-9801-156d15b3962c,1775725061701233338,-0.51116943,-6.0653687,3.0956268,-0.098632805,-0.72802734,0.7114258,8.521032934206612,-44.346425734078366,36.86014914324579,-0.3788113,-0.053717807,0.26535785,0.8849866
bb09b488-e875-448b-9801-156d15b3962c,1775725061711450338,-0.6351471,-6.128311,2.7256012,-0.10156249,-0.7207031,0.7167969,8.485761054718376,-44.352746529119415,36.700749127029965,-0.37885222,-0.053480834,0.26423305,0.88531995
