recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
bb09b488-e875-448b-9801-156d15b3962c,72,1775725092216026338,1775725092346151338,130.125,1.5594742,1129.0911,1913.461
bb09b488-e875-448b-9801-156d15b3962c,73,1775725092466275338,1775725092526275338,60.0,0.827648,1134.2568,2078.6458
bb09b488-e875-448b-9801-156d15b3962c,74,1775725092791524338,1775725092871649338,80.125,1.5558041,1380.38,2719.5293
bb09b488-e875-448b-9801-156d15b3962c,75,1775725093026773338,1775725093061773338,35.0,1.7562852,1022.43243,1802.5586
bb09b488-e875-448b-9801-156d15b3962c,76,1775725093216902338,1775725093242026338,25.124,0.7618941,1224.1782,2034.1515
bb09b488-e875-448b-9801-156d15b3962c,77,1775725093717396338,1775725093772395338,54.999,2.576558,1257.1844,1906.581
bb09b488-e875-448b-9801-156d15b3962c,78,1775725093982644338,1775725094052769338,70.125,0.7423208,1372.9653,2196.8381
bb09b488-e875-448b-9801-156d15b3962c,79,1775725094132769338,1775725094192894338,60.125,1.0405217,1170.5466,1806.0818
bb09b488-e875-448b-9801-156d15b3962c,80,1775725094343018338,1775725094373018338,30.0,0.9281323,947.82056,1397.3378
bb09b488-e875-448b-9801-156d15b3962c,81,1775725094483142338,1775725094513142338,30.0,1.6195917,1214.5972,2018.3419
bb09b488-e875-448b-9801-156d15b3962c,82,1775725094613267338,1775725094643267338,30.0,3.7691174,1734.4108,3122.6807
bb09b488-e875-448b-9801-156d15b3962c,83,1775725094733391338,1775725094753391338,20.0,1.2540642,1249.7736,1526.9292
bb09b488-e875-448b-9801-156d15b3962c,84,1775725094833391338,1775725095534138338,700.747,11.301555,3135.7256,15960.555
bb09b488-e875-448b-9801-156d15b3962c,85,1775725095669263338,1775725096044514338,375.251,25.62219,3726.6895,11151.494
bb09b488-e875-448b-9801-156d15b3962c,86,1775725096224760338,1775725096329885338,105.125,7.794749,1552.2238,2501.8945
bb09b488-e875-448b-9801-156d15b3962c,87,1775725096409885338,1775725096540009338,130.124,3.2775605,1466.2465,2206.928
bb09b488-e875-448b-9801-156d15b3962c,88,1775725096620134338,1775725097010507338,390.373,18.779608,3055.5962,8228.835
bb09b488-e875-448b-9801-156d15b3962c,89,1775725097160632338,1775725097410883338,250.251,3.0780861,1382.2804,2899.0962
bb09b488-e875-448b-9801-156d15b3962c,90,1775725097586018338,1775725097611005338,24.987,1.8332052,1299.2466,2378.9746
bb09b488-e875-448b-9801-156d15b3962c,91,1775725097706129338,1775725097731129338,25.0,2.0538697,1355.9402,2060.011
bb09b488-e875-448b-9801-156d15b3962c,92,1775725097861257338,1775725097926254338,64.997,0.66472805,1209.7511,2434.3604
bb09b488-e875-448b-9801-156d15b3962c,93,1775725098041378338,1775725098271627338,230.249,0.59857047,1344.9866,3145.557
bb09b488-e875-448b-9801-156d15b3962c,94,1775725098426751338,1775725098576876338,150.125,0.45192042,1323.152,2225.225
