number,value,datetime_start,datetime_complete,duration,params_batch,params_dp,params_lr,params_ls,params_out_ch,params_wd,state
10,0.30510447177325867,2026-07-21 08:54:03.242949,2026-07-21 08:54:12.375069,0 days 00:00:09.132120,256,0.41648405395374655,0.0010697562310374405,0.25713721285356406,128,0.0006579026470785287,COMPLETE
11,0.38554655525599785,2026-07-21 08:54:12.434790,2026-07-21 08:54:28.574493,0 days 00:00:16.139703,128,0.8143624763871136,0.0017782558056233769,0.3329507559513699,128,0.0008629289950940364,COMPLETE
12,0.3364749784379867,2026-07-21 08:54:28.624870,2026-07-21 08:54:37.958897,0 days 00:00:09.334027,256,0.19959585718452977,0.0008998919072569084,0.4571114690881538,128,0.0011380924939367577,COMPLETE
13,0.4190142966784456,2026-07-21 08:54:38.015721,2026-07-21 08:55:06.535418,0 days 00:00:28.519697,64,0.40980254044537623,0.0013539811528287774,0.46373146776338914,128,0.00105343374422688,COMPLETE
14,0.3441081851231476,2026-07-21 08:55:06.593791,2026-07-21 08:55:15.050799,0 days 00:00:08.457008,512,0.6126594208806526,0.0012797245751826002,0.8185701502658538,512,0.0011874833879145549,COMPLETE
15,0.42430153088070904,2026-07-21 08:55:15.110868,2026-07-21 08:55:46.750285,0 days 00:00:31.639417,64,0.6567457116758728,0.0008212773877583881,0.6794624531676228,32,0.0013458341933655805,COMPLETE
16,0.4084221716783953,2026-07-21 08:55:46.811044,2026-07-21 08:56:25.300260,0 days 00:00:38.489216,64,0.5849687374333347,0.001049423843208307,0.7231515609831959,32,0.0015246503870503067,COMPLETE
17,0.4066210965163779,2026-07-21 08:56:25.352757,2026-07-21 08:56:54.498513,0 days 00:00:29.145756,64,0.5276034127431513,0.0013437583567737442,0.7521785649818888,32,0.0005231848236087879,COMPLETE
18,0.3504634045473062,2026-07-21 08:56:54.557695,2026-07-21 08:57:04.010589,0 days 00:00:09.452894,512,0.7478803488618999,0.0010225265426048516,0.024513731515782178,64,0.003089642258977879,COMPLETE
19,0.4084147411879767,2026-07-21 08:57:04.064624,2026-07-21 08:57:38.094878,0 days 00:00:34.030254,64,0.0006566850314810857,0.0014733995486495201,0.6468918975069143,512,0.001186585410955647,COMPLETE
20,0.4072437658682905,2026-07-21 08:57:38.144578,2026-07-21 08:58:11.334610,0 days 00:00:33.190032,64,0.5350291185450373,0.001168125160143007,0.8974135278885141,128,0.0015504474843082007,COMPLETE
21,0.41241153490615645,2026-07-21 08:58:11.388821,2026-07-21 08:58:44.620956,0 days 00:00:33.232135,64,0.8773898462075175,0.0008248374157079812,0.42552774418812206,32,0.000982071096697642,COMPLETE
22,0.3321787222669196,2026-07-21 08:58:44.688619,2026-07-21 08:58:52.848499,0 days 00:00:08.159880,512,0.9945218588602142,0.000920939487995685,0.6524646123699126,128,0.001358657394506166,COMPLETE
23,0.36443392097219857,2026-07-21 08:58:52.915519,2026-07-21 08:59:11.369063,0 days 00:00:18.453544,128,0.30774072101576244,0.001575020769110774,0.2278090867494347,32,0.0017868686616680071,COMPLETE
24,0.4137674920840716,2026-07-21 08:59:11.423145,2026-07-21 08:59:44.909731,0 days 00:00:33.486586,64,0.6702032565853564,0.0009760738934083356,0.8318476546995432,512,0.0010245128799523085,COMPLETE
25,0.4128775084629646,2026-07-21 08:59:44.984863,2026-07-21 09:00:20.194315,0 days 00:00:35.209452,64,0.7110552679579694,0.0008021717991907821,0.6363743573191275,256,0.000564721633116813,COMPLETE
26,0.4140686704794348,2026-07-21 09:00:20.265538,2026-07-21 09:00:52.840652,0 days 00:00:32.575114,64,0.49310597749624874,0.0008759336792023376,0.5545393260379072,256,0.0006316410561944493,COMPLETE
27,0.411116889308502,2026-07-21 09:00:52.895694,2026-07-21 09:01:23.794588,0 days 00:00:30.898894,64,0.8017782702120061,0.0011720740590365178,0.5402522443138786,64,0.0008932652374662914,COMPLETE
28,0.4195739898851265,2026-07-21 09:01:23.853667,2026-07-21 09:01:54.354043,0 days 00:00:30.500376,64,0.6551684865561853,0.000954225579062371,0.36843900460116896,256,0.0007575310096567996,COMPLETE
29,0.4047484240090454,2026-07-21 09:01:54.411556,2026-07-21 09:02:21.693082,0 days 00:00:27.281526,64,0.6315338381005351,0.0009768342993886484,0.3830092019274134,128,0.0013537571712275126,COMPLETE
30,0.42265803805277813,2026-07-21 09:02:21.747336,2026-07-21 09:02:50.834588,0 days 00:00:29.087252,64,0.4605003393259,0.0011608651311657435,0.22262761364860212,32,0.000984344240364454,COMPLETE
31,0.33730332978390265,2026-07-21 09:02:50.893168,2026-07-21 09:02:56.214887,0 days 00:00:05.321719,512,0.4599164517880556,0.0011452073757764493,0.1494849075571228,32,0.000749039451292642,COMPLETE
32,0.36395654420666185,2026-07-21 09:02:56.274568,2026-07-21 09:03:13.722860,0 days 00:00:17.448292,128,0.5719166054032763,0.0009458041891438713,0.06997617072341,32,0.0013538010208827612,COMPLETE
33,0.4078593539460477,2026-07-21 09:03:13.771824,2026-07-21 09:03:40.405846,0 days 00:00:26.634022,64,0.7441268067193801,0.0008556354111308472,0.2533114694770683,32,0.0006931905427771765,COMPLETE
